,name,custlabel,arh,top_3,role1,role2,role3
0,Joel Coen,MW,0.655,"Music, Costume Design, Cinematography by",Music,Costume Design,Cinematography by
1,Lilly Wachowski,FWQ,0.65,"Costume Design, Film Editing by, Production",Costume Design,Film Editing by,Production
2,Lana Wachowski,FWQ,0.624,"Music, Costume Design, Film Editing by",Music,Costume Design,Film Editing by
3,Tyler Perry,MB,0.598,"Film Editing by, Production, Cinematography by",Film Editing by,Production,Cinematography by
4,David Lynch,MW,0.581,"Music, Production, Cinematography by",Music,Production,Cinematography by
5,Peter Jackson,MWH,0.579,"Writing Credits, Cinematography by, Production",Writing Credits,Cinematography by,Production
6,Gus Van Sant,MWQ,0.577,"Cinematography by, Film Editing by, Production",Cinematography by,Film Editing by,Production
7,Woody Allen,MW,0.565,"Film Editing by, Production, Cinematography by",Film Editing by,Production,Cinematography by
8,Jane Campion,FW,0.558,"Cinematography by, Film Editing by, Production",Cinematography by,Film Editing by,Production
9,Alexander Payne,MW,0.555,"Cinematography by, Film Editing by, Music",Cinematography by,Film Editing by,Music
10,Clint Eastwood,MW,0.548,"Film Editing by, Cinematography by, Production",Film Editing by,Cinematography by,Production
11,David Cronenberg,MW,0.547,"Cinematography by, Production, Film Editing by",Cinematography by,Production,Film Editing by
12,David Yates,MWH,0.543,"Film Editing by, Production, Music",Film Editing by,Production,Music
13,Barry Jenkins,MB,0.511,"Costume Design, Cinematography by, Music",Costume Design,Cinematography by,Music
14,Christopher Nolan,MWH,0.493,"Cinematography by, Music, Production",Cinematography by,Music,Production
15,Alejandro G. Iñárritu,ML,0.489,"Cinematography by, Production, Film Editing by",Cinematography by,Production,Film Editing by
16,Steven Soderbergh,MW,0.466,"Music, Production, Costume Design",Music,Production,Costume Design
17,Spike Lee,MB,0.465,"Film Editing by, Music, Costume Design",Film Editing by,Music,Costume Design
18,Alfonso Cuarón,ML,0.461,"Cinematography by, Film Editing by, Costume Design",Cinematography by,Film Editing by,Costume Design
19,Robert Zemeckis,MWH,0.454,"Music, Costume Design, Cinematography by",Music,Costume Design,Cinematography by
20,Steven Spielberg,MWH,0.443,"Music, Film Editing by, Cinematography by",Music,Film Editing by,Cinematography by
21,Wes Anderson,MW,0.429,"Music, Cinematography by, Costume Design",Music,Cinematography by,Costume Design
22,Bryan Singer,MWH,0.428,"Music, Cinematography by, Costume Design",Music,Cinematography by,Costume Design
23,Gore Verbinski,MWH,0.411,"Film Editing by, Cinematography by, Music",Film Editing by,Cinematography by,Music
24,Kelly Reichardt,FW,0.409,"Film Editing by, Writing Credits, Cinematography by",Film Editing by,Writing Credits,Cinematography by
25,J.J. Abrams,MWH,0.404,"Cinematography by, Film Editing by, Music",Cinematography by,Film Editing by,Music
26,Tim Burton,MWH,0.402,"Costume Design, Music, Film Editing by",Costume Design,Music,Film Editing by
27,Michael Bay,MWH,0.397,"Music, Film Editing by, Production",Music,Film Editing by,Production
28,Ridley Scott,MWH,0.39,"Production, Costume Design, Film Editing by",Production,Costume Design,Film Editing by
29,Martin Scorsese,MW,0.385,"Production, Film Editing by, Costume Design",Production,Film Editing by,Costume Design
30,Richard Linklater,MW,0.378,"Film Editing by, Cinematography by, Costume Design",Film Editing by,Cinematography by,Costume Design
31,Gregg Araki,MAQ,0.373,"Film Editing by, Special Effects by, Production",Film Editing by,Special Effects by,Production
32,Anthony Russo,MWH,0.373,"Costume Design, Writing Credits, Music",Costume Design,Writing Credits,Music
